index,descriptors,relative_frequency
"Cabernet Franc, Sierra Foothills, California, USA",fruit,0.21
"Chardonnay, Maule Valley, Central Valley, Chile",apple,0.18
"Chardonnay, Cote Chalonnaise, Burgundy, France",ripe,0.31
"Syrah, Paso Robles, Central Coast, California, USA",ripe,0.07
"Syrah, Mendocino, North Coast, California, USA",fruit,0.11
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",cherry,0.13
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",lime,0.11
"Aglianico, Italian Red, Basilicata, Southern Italy, Italy",plum,0.09
"Provence red blend, Red Blends, Provence, France",fruit,0.26
"Chardonnay, Burgenland, Austria",lactic,0.11
"Sangiovese, Columbia Valley, Washington, USA",fruit,0.17
"Sauvignon Blanc, Wairarapa, New Zealand",ripe,0.11
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",cherry,0.17
"Sauvignon Blanc, Marlborough, New Zealand",ripe,0.09
"Cabernet Sauvignon, Catalunya, Northeast Spain, Spain",coffee,0.07
"White Blend, Burgenland, Austria",apricot,0.10
"Zinfandel, Sierra Foothills, California, USA",fruit,0.16
"Riesling, Rheingau, Germany",ripe,0.07
"Greco, Italian White, Campania, Southern Italy, Italy",fruit,0.17
"Cabernet Franc, Napa Valley, North Coast, California, USA",fruit,0.10
"Pinot Noir, Columbia Valley, Washington, USA",strawberry,0.14
"Red Blends, Red Blends, Sardinia, Southern Italy, Italy",ripe,0.22
"Pinot Noir, Marlborough, New Zealand",cherry,0.22
"Cabernet Sauvignon, Western Australia, Australia",cedar,0.09
"Red Blends, Red Blends, Niederosterreich, Austria",cherry,0.26
"Gruner Veltliner, Niederosterreich, Austria",ripe,0.17
"Pinot Noir, Central Otago, New Zealand",cherry,0.13
"Pinot Noir, Finger Lakes, New York, USA",cherry,0.24
"White Blend, Friuli-Venezia Giulia, Northeast Italy, Italy",toast,0.13
"Alsace white blend, White Blend, Alsace, France",ripe,0.16
"Chardonnay, Trento, Northeast Italy, Italy",ripe,0.11
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",citrus,0.17
"Austrian Red Blend, Red Blends, Burgenland, Austria",ripe,0.17
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",blackberry,0.11
"Chardonnay, Columbia Valley, Washington, USA",fruit,0.14
"Merlot, Inland Valleys, California, USA",oak,0.17
"Bordeaux-style White Blend, White Blend, Sauternais, Bordeaux, France",oak,0.46
"Tempranillo, Castilla-La Mancha, Central Spain, Spain",fruit,0.06
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",cherry,0.12
"Viognier, Virginia, USA",peach,0.14
"Shiraz-Cabernet Sauvignon, Red Blends, South Australia, Australia",herb,0.11
"Pinot Noir, Alsace, France",cherry,0.17
"Red Blends, Red Blends, Maipo Valley, Central Valley, Chile",earth,0.13
"Tempranillo Blend, Tempranillo, Castilla and Leon, Northwest Spain, Spain",oak,0.08
"Vermentino, Italian White, Sardinia, Southern Italy, Italy",ripe,0.14
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",oak,0.08
"Pinot Noir, Cote de Beaune, Burgundy, France",fruit,0.26
"Bordeaux-style Red Blend, Southwest France, France",fruit,0.31
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",pepper,0.11
"Cabernet Sauvignon, Finger Lakes, New York, USA",ripe,0.16
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",fruit,0.10
"Falanghina, Italian White, Campania, Southern Italy, Italy",flower,0.14
"Red Blends, Red Blends, Southwest France, France",fruit,0.22
"Arneis, Italian White, Piedmont, Northwest Italy, Italy",flower,0.17
"Syrah, Santa Barbara, Central Coast, California, USA",blackberry,0.11
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",steel,0.13
"Red Blends, Red Blends, Paso Robles, Central Coast, California, USA",cherry,0.10
"Gruner Veltliner, Vienna, Austria",pepper,0.13
"Pinot Grigio, Marlborough, New Zealand",pear,0.12
"Pinot Grigio, Mendoza, Argentina",tropical_fruit,0.12
"Gamay, Beaujolais, France",fruit,0.29
"Chardonnay, Santa Barbara, Central Coast, California, USA",lemon,0.08
"Chardonnay, Colchagua Valley, Central Valley, Chile",oak,0.08
"Zinfandel, Mendocino, North Coast, California, USA",fruit,0.24
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",cherry,0.22
"Chardonnay, Southern Oregon, Oregon, USA",oak,0.17
"Merlot, Libournais, Bordeaux, France",fruit,0.32
"Pinot Noir, Cape South Coast, South Africa",ripe,0.18
"Syrah, Hawkes Bay, New Zealand",pepper,0.13
"Syrah, New South Wales, Australia",toast,0.09
"Syrah, South Australia, Australia",fruit,0.07
"Pinot Noir, Sonoma Valley, North Coast, California, USA",earth,0.12
"Syrah, Colchagua Valley, Central Valley, Chile",fruit,0.06
"Merlot, Mendoza, Argentina",fruit,0.09
"White Blend, Castilla and Leon, Northwest Spain, Spain",citrus,0.22
"Red Blends, Red Blends, South Coast, California, USA",plum,0.09
"Merlot, Mendocino, North Coast, California, USA",fruit,0.19
"Glera, Italian White, Veneto, Northeast Italy, Italy",flower,0.11
"Red Blends, Red Blends, Colchagua Valley, Central Valley, Chile",ripe,0.10
"Grenache, Aragon, Northeast Spain, Spain",oak,0.07
"Nerello Mascalese, Italian Red, Sicily, Southern Italy, Italy",berry,0.12
"Sauvignon Blanc, Coastal Region, South Africa",grass,0.13
"Riesling, Long Island, New York, USA",ripe,0.11
"Chardonnay, Napa-Sonoma, North Coast, California, USA",oak,0.14
"Riesling, Rheinhessen, Germany",ripe,0.07
"Chardonnay, Sicily, Southern Italy, Italy",toast,0.18
"Riesling, Western Australia, Australia",lime,0.17
"Sauvignon Blanc, Sierra Foothills, California, USA",citrus,0.11
"White Blend, La Rioja, Northeast Spain, Spain",oak,0.17
"Merlot, Sonoma Valley, North Coast, California, USA",plum,0.11
"Red Blends, Red Blends, Judea, Israel",cherry,0.23
"Pinot Noir, Mendoza, Argentina",earth,0.11
"Chardonnay, Long Island, New York, USA",apple,0.14
"White Blend, Sicily, Southern Italy, Italy",fruit,0.09
"Red Blends, Red Blends, Castilla and Leon, Northwest Spain, Spain",earth,0.14
"Grenache, Navarra, Northeast Spain, Spain",cherry,0.07
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",grass,0.14
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",flower,0.26
"Pinot Noir, Lombardy, Northwest Italy, Italy",berry,0.16
"Pinot Grigio, Alto Adige, Northeast Italy, Italy",fruit,0.11
"Tempranillo, Sierra Foothills, California, USA",fruit,0.18
"White Blend, Tuscany, Central Italy, Italy",flower,0.09
"Chardonnay, Finger Lakes, New York, USA",apple,0.08
"Grenache, Santa Barbara, Central Coast, California, USA",cherry,0.17
"Riesling, Pfalz, Germany",minerality,0.10
"Bordeaux-style Red Blend, Colchagua Valley, Central Valley, Chile",cassis,0.12
"Red Blends, Red Blends, Columbia Valley, Oregon, USA",fruit,0.14
"Pinot Noir, Patagonia, Argentina",cherry,0.11
"Sauvignon Blanc, Cape South Coast, South Africa",grass,0.14
"Red Blends, Red Blends, Murcia, Northeast Spain, Spain",ripe,0.10
"Syrah, Limari Valley, Coquimbo Region, Chile",flower,0.12
"Viognier, Santa Barbara, Central Coast, California, USA",tropical_fruit,0.09
"Sauvignon Blanc, Hawkes Bay, New Zealand",ripe,0.23
"Durella, Italian White, Veneto, Northeast Italy, Italy",bread_crust,0.15
"Red Blends, Red Blends, Santa Barbara, Central Coast, California, USA",blackberry,0.11
"Lagrein, Italian Red, Alto Adige, Northeast Italy, Italy",blackberry,0.27
"Cabernet Franc, Mendoza, Argentina",herb,0.15
"Chardonnay, Limari Valley, Coquimbo Region, Chile",oak,0.12
"Sauvignon Blanc, Steiermark, Austria",ripe,0.10
"Sauvignon Blanc, Castilla and Leon, Northwest Spain, Spain",sweat,0.17
"Red Blends, Red Blends, Veneto, Northeast Italy, Italy",ripe,0.12
"Red Blends, Red Blends, Navarra, Northeast Spain, Spain",fruit,0.08
"Petite Sirah, Paso Robles, Central Coast, California, USA",cherry,0.11
"Red Blends, Red Blends, Mendocino, North Coast, California, USA",fruit,0.17
"Merlot, Rapel Valley, Central Valley, Chile",fruit,0.18
"Chardonnay, Clear Lake, North Coast, California",oak,0.18
"Petite Sirah, Sonoma Valley, North Coast, California, USA",oak,0.06
"White Blend, Catalunya, Northeast Spain, Spain",flower,0.10
"Bordeaux-style White Blend, White Blend, Southwest France, France",fruit,0.17
"White Blend, Mendoza, Argentina",tropical_fruit,0.11
"Sauvignon Blanc, Mendocino, North Coast, California, USA",citrus,0.11
"Bordeaux-style Red Blend, Virginia, USA",cherry,0.11
"Chardonnay, Monterey, Central Coast, California, USA",apple,0.10
"Grenache, Southern Oregon, Oregon, USA",fruit,0.18
"Chardonnay, Western Australia, Australia",toast,0.09
"Pinot Noir, Alto Adige, Northeast Italy, Italy",berry,0.26
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",earth,0.11
"Pinot Grigio, Trento, Northeast Italy, Italy",flower,0.14
"Riesling, Idaho, USA",apricot,0.11
"Tokay Pinot Gris, Alsace, France",spice,0.23
"Bordeaux-style White Blend, White Blend, Entre-Deux-Mers, Bordeaux",ripe,0.19
"Cabernet Sauvignon, Tuscany, Central Italy, Italy",black_currant,0.18
"Riesling, Willamette Valley, Oregon, USA",fruit,0.15
"Red Blends, Red Blends, Catalunya, Northeast Spain, Spain",ripe,0.11
"Chardonnay, Navarra, Northeast Spain, Spain",oak,0.15
"Bordeaux-style Red Blend, Graves, Bordeaux, France",oak,0.37
"Sauvignon Blanc, Alto Adige, Northeast Italy, Italy",tomato,0.22
"Chardonnay, Cote de Nuits, Burgundy, France",ripe,0.19
"Merlot, Maipo Valley, Central Valley, Chile",herb,0.10
"Merlot, Curico Valley, Central Valley, Chile",fruit,0.09
"Fiano, Italian White, Campania, Southern Italy, Italy",smoke,0.12
"Bordeaux-style Red Blend, Sauternais, Bordeaux, France",fruit,0.16
"Red Blends, Red Blends, Aragon, Northeast Spain, Spain",oak,0.07
"Chardonnay, Chablis, Burgundy, France",fruit,0.23
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",citrus,0.13
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",oak,0.12
"Dolcetto, Italian Red, Piedmont, Northwest Italy, Italy",cherry,0.15
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",berry,0.07
"Red Blends, Red Blends, Inland Valleys, California, USA",fruit,0.19
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",citrus,0.15
"Pinot Noir, Victoria, Australia",cherry,0.25
"Cabernet Sauvignon, Sierra Foothills, California, USA",fruit,0.15
"Riesling, Southern Oregon, Oregon, USA",apple,0.20
"Tinto del Pais, Tempranillo, Castilla and Leon, Northwest Spain, Spain",leather,0.07
"Chardonnay, Gisborne, New Zealand",ripe,0.13
"Cabernet Sauvignon, Coastal Region, South Africa",fruit,0.08
"Syrah, Maipo Valley, Central Valley, Chile",spice,0.10
"Zinfandel, San Francisco Bay, Central Coast, California, USA",fruit,0.21
"Pinot Noir, Wairarapa, New Zealand",cherry,0.23
"Merlot, Galilee, Israel",cherry,0.18
"Grenache, La Rioja, Northeast Spain, Spain",raisin,0.16
"Merlot, Napa Valley, North Coast, California, USA",oak,0.10
"Riesling, Niederosterreich, Austria",ripe,0.13
"Riesling, Alsace, France",ripe,0.16
"Tannat-Cabernet, Red Blends, Southwest France, France",ripe,0.34
"Cabernet Sauvignon, Salta, Argentina",herb,0.20
"Bordeaux-style Red Blend, Long Island, New York, USA",ripe,0.17
"Syrah, Aconcagua Valley, Aconcagua Region, Chile",oak,0.13
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",herb,0.08
"Pinot Grigio, Mendocino, North Coast, California, USA",ripe,0.13
"Cabernet Sauvignon, Galilee, Israel",cherry,0.18
"Red Blends, Red Blends, Sicily, Southern Italy, Italy",berry,0.17
"Zinfandel, Inland Valleys, California, USA",ripe,0.13
"Grenache, Sierra Foothills, California, USA",fruit,0.20
"Chardonnay, Victoria, Australia",smoke,0.11
"White Blend, Southwest France, France",fruit,0.20
"Syrah, South Coast, California, USA",blackberry,0.12
"Aglianico, Italian Red, Campania, Southern Italy, Italy",berry,0.10
"Sauvignon Blanc, Inland Valleys, California, USA",grass,0.11
"Petite Sirah, Mendocino, North Coast, California, USA",blueberry,0.10
"Syrah, Victoria, Australia",fruit,0.09
"Chardonnay, South Australia, Australia",toast,0.08
"Merlot, Coastal Region, South Africa",plum,0.09
"Sauvignon Blanc, Mendoza, Argentina",citrus,0.15
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",earth,0.08
"Red Blends, Red Blends, Southern Oregon, Oregon, USA",fruit,0.20
"Chardonnay, Auckland, New Zealand",toast,0.18
"Sangiovese, Tuscany, Central Italy, Italy",undergrowth,0.07
"Red Blends, Red Blends, Napa Valley, North Coast, California, USA",juicy,0.09
"Zinfandel, Clear Lake, North Coast, California",fruit,0.22
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",blackberry,0.11
"Malbec, Patagonia, Argentina",berry,0.13
"Pinot Noir, San Antonio, Aconcagua Region, Chile",spice,0.09
"Tinta de Toro, Tempranillo, Castilla and Leon, Northwest Spain, Spain",ripe,0.09
"Red Blends, Red Blends, Piedmont, Northwest Italy, Italy",rose,0.15
"Pinot Noir, Canterbury and Waipara, New Zealand",cherry,0.14
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",cherry,0.08
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",earth,0.09
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",cherry,0.17
"Red Blends, Red Blends, Puglia, Southern Italy, Italy",ripe,0.12
"Merlot, Cachapoal Valley, Central Valley, Chile",plum,0.11
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",cassis,0.11
"Cabernet Sauvignon, Judea, Israel",cherry,0.26
"Chardonnay, Maipo Valley, Central Valley, Chile",apple,0.11
"Sangiovese, Sierra Foothills, California, USA",fruit,0.16
"Pinot Grigio, Columbia Valley, Washington, USA",fruit,0.13
"Bordeaux-style Red Blend, Western Australia, Australia",cassis,0.17
"Tempranillo Blend, Tempranillo, La Rioja, Northeast Spain, Spain",earth,0.09
"Tempranillo, La Rioja, Northeast Spain, Spain",earth,0.08
"Chardonnay, Virginia, USA",lemon,0.12
"Tempranillo, Valencia, Northeast Spain, Spain",cherry,0.09
"Pinot Noir, Cote de Nuits, Burgundy, France",fruit,0.32
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",citrus,0.16
"Pinot Noir, Willamette Valley, Oregon, USA",fruit,0.17
"Malbec, Napa Valley, North Coast, California, USA",leather,0.09
"Cabernet Franc, Columbia Valley, Washington, USA",herb,0.17
